Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Eatpa de la prueba,Ambiente,Reportado,Fecha Reporte,Version de correccion 1,Desarrollador,Sprint última regresión,Â¿En qué versión fue corregido?,Estrategia de ejecución
Finding,API-073,35,Error al guardar los cambios cuando el formulario estí incompleto.,API-073,Media,En progreso,Sprint 10,Regresión,Seguridad,integracion,Datos,Datalake,Mainframe,Operacion,Producción,Mateo Linares,6/4/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,MOB-589,36,Permisos incorrectos asignados a usuarios estíndar.,MOB-589,Alta,Pendiente,Sprint 5,Regresión,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Operacion,ShadowDR),Miguel Herrera,10/29/2025,v1.0.1,Laura Ortega,Sprint 10,v1.0.2,Manual
Finding,API-073,37,Logs are generated with NullPointerException errors.,API-073,Más Alta,En progreso,Sprint 5,Funcional,Datos,integracion,Datos,CRM,On-Premise- Hibrido,Ideación,Pruebas,Sofía Morales,10/24/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,WEB-342,38,The system freezes when entering special characters.,WEB-342,Alta,Reabierto,Sprint 16,Funcional,Funcional,UAT,Software Tradicional,ERP,On-Premise- Hibrido,Construcción,Pruebas,Antonella Duque,6/7/2025,v1.0.1,Juan Pérez,,v1.0.2,Automatizada
Finding,BD-921,39,Confirmation message is not displayed after submitting the form.,BD-921,Media,Resuelto,Sprint 12,Integración,Funcional,Unitaria,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,ShadowDR),Paula Navarro,2/23/2024,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Finding,WEB-342,40,The search component does not filter properly.,WEB-342,Baja,En progreso,Sprint 18,Funcional,Funcional,Unitaria,Datos,DWH,On-Premise- Hibrido,Requisitos,Pruebas,Isabela Aguirre,2/28/2024,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
Finding,MOB-589,41,Confirmation message is not displayed after submitting the form.,MOB-589,Alta,Resuelto,Sprint 14,Regresión,Funcional,integracion,Software IA,Datalake,On-Premise- Hibrido,Ideación,ShadowDR),Miguel Herrera,9/8/2024,v1.0.1,Sebastiín Cortés,Sprint 16,v1.0.2,Manual
Finding,WEB-342,42,Inconsistencies in date format in reports.,WEB-342,Más Alta,Reabierto,Sprint 13,Funcional,Funcional,Sistema,Software Tradicional,ERP,Mainframe,Ideación,Pruebas,Antonella Duque,9/22/2024,v1.0.1,Esteban Méndez,,v1.0.2,Automatizada
Finding,POS-101,43,The autocomplete function does not suggest expected values.,POS-101,Más Alta,Pendiente,Sprint 8,Sanity,Funcional,integracion,Datos,CORE Banking,On-Premise- Hibrido,Ideación,ShadowDR),Juan Pérez,9/14/2025,v1.0.1,Sebastiín Cortés,,v1.0.2,Manual
Finding,BD-921,44,Datos no persisten después de actualizar la pígina.,BD-921,Media,Reabierto,Sprint 1,Carga,Desempeño,Unitaria,Software Tradicional,CRM,Cloud,Ideación,Pruebas,Laura Ortega,2/10/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,API-073,45,Issues with message internationalization.,API-073,Media,Resuelto,Sprint 1,Exploratoria,Funcional,Unitaria,SAP,ERP,On-Premise- Hibrido,Ideación,Pruebas,Paula Navarro,3/24/2024,v1.0.1,Laura Ortega,,v1.0.2,Manual
Finding,KIOS-411,46,The system freezes when entering special characters.,KIOS-411,Alta,Resuelto,Sprint 4,Funcional,Funcional,UAT,Software IA,ERP,Cloud,Requisitos,Pre-Producción,Sebastiín Cortés,9/3/2025,v1.0.1,Pedro Cruz,,v1.0.2,Automatizada
Finding,MOB-589,47,Issues with message internationalization.,MOB-589,Baja,Pendiente,Sprint 10,Aceptación,Datos,Unitaria,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Camila Vargas,12/26/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,POS-101,48,Logs are generated with NullPointerException errors.,POS-101,Media,Rechazado,Sprint 4,Carga,Datos,UAT,Software IA,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Juan Pérez,10/30/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,CORE-568,49,La carga del módulo tarda mís de lo esperado.,CORE-568,Baja,Cerrado,Sprint 11,Regresión,Funcional,Unitaria,SAP,CRM,On-Premise- Hibrido,Ideación,ShadowDR),Lucía Ferníndez,3/8/2024,v1.0.1,Valentina Castillo,Sprint 20,v1.0.2,Manual
Finding,WEB-342,50,The autocomplete function does not suggest expected values.,WEB-342,Media,Resuelto,Sprint 1,Integración,Datos,UAT,Software Tradicional,CRM,On-Premise- Hibrido,Operacion,ShadowDR),Miguel Herrera,2/16/2024,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,MOB-589,51,Issues with message internationalization.,MOB-589,Baja,En progreso,Sprint 3,Funcional,Funcional,Unitaria,Datos,CRM,Cloud,Ideación,Pruebas,Sofía Morales,7/26/2025,v1.0.1,Pedro Cruz,Sprint 9,v1.0.2,Automatizada
Finding,MOB-589,52,Issues with message internationalization.,MOB-589,Media,En progreso,Sprint 8,Carga,Funcional,Sistema,Datos,CRM,On-Premise- Hibrido,Ideación,Sandbox,Raúl Espinosa,1/25/2025,v1.0.1,Ana López,,v1.0.2,Manual
Finding,CORE-568,53,Exported data does not match what is displayed on screen.,CORE-568,Baja,Rechazado,Sprint 3,Regresión,Funcional,integracion,Software Tradicional,ERP,On-Premise- Hibrido,Construcción,Pre-Producción,Lucía Ferníndez,3/1/2024,v1.0.1,Gabriela Paredes,Sprint 16,v1.0.2,Manual
Finding,BD-921,54,Exported data does not match what is displayed on screen.,BD-921,Baja,En progreso,Sprint 6,Funcional,Funcional,integracion,Software IA,Datalake,On-Premise- Hibrido,Ideación,ShadowDR),Miguel Herrera,10/30/2024,v1.0.1,Mateo Linares,,v1.0.2,Automatizada
Finding,POS-101,55,Misalignment in interface elements.,POS-101,Más Alta,Pendiente,Sprint 11,Funcional,Funcional,Sistema,SAP,ERP,On-Premise- Hibrido,Ideación,ShadowDR),Pedro Cruz,7/23/2024,v1.0.1,Lucía Ferníndez,,v1.0.2,Automatizada
Finding,API-073,56,Navigation failure between main module screens.,API-073,Alta,En progreso,Sprint 2,Sanity,Funcional,Unitaria,Datos,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Juan Pérez,4/24/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,POS-101,57,Browser compatibility issue on mobile devices.,POS-101,Media,Cerrado,Sprint 10,Funcional,Datos,Sistema,SAP,DWH,Mainframe,Construcción,Desarrollo,Miguel Herrera,5/15/2025,v1.0.1,Laura Ortega,Sprint 20,v1.0.2,Manual
Finding,API-073,58,The send button remains inactive even with complete fields.,API-073,Media,Reabierto,Sprint 14,Funcional,Funcional,Sistema,Software Tradicional,Datalake,Mainframe,Requisitos,Desarrollo,Gabriela Paredes,2/3/2025,v1.0.1,Miguel Herrera,Sprint 16,v1.0.2,Automatizada
Finding,KIOS-411,59,Email field validation does not work correctly.,KIOS-411,Media,Resuelto,Sprint 16,Funcional,Funcional,Sistema,SAP,DWH,On-Premise- Hibrido,Requisitos,Pruebas,Camila Vargas,8/12/2024,v1.0.1,Ana López,Sprint 16,v1.0.2,Automatizada
Finding,KIOS-411,60,Email field validation does not work correctly.,KIOS-411,Media,En progreso,Sprint 10,Funcional,Funcional,Unitaria,Software IA,CRM,Cloud,Construcción,Integracion,Mateo Linares,4/29/2025,v1.0.1,Sebastiín Cortés,,v1.0.2,Manual
Finding,CORE-568,61,Error al guardar los cambios cuando el formulario estí incompleto.,CORE-568,Media,Cerrado,Sprint 15,Carga,Usabilidad,UAT,SAP,ERP,Cloud,Requisitos,Integracion,Juan Pérez,11/20/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Suggestion,KIOS-411,62,Permisos incorrectos asignados a usuarios estíndar.,KIOS-411,Alta,Resuelto,Sprint 11,Integración,Compatibilidad,UAT,Software IA,Datalake,On-Premise- Hibrido,Operacion,Pre-Producción,Miguel Herrera,9/12/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Suggestion,BD-921,63,The system does not respond when clicking certain buttons.,BD-921,Alta,Pendiente,Sprint 10,Funcional,Funcional,UAT,SAP,ERP,On-Premise- Hibrido,Construcción,ShadowDR),Lucía Ferníndez,10/22/2025,v1.0.1,Laura Ortega,Sprint 17,v1.0.2,Automatizada
Suggestion,POS-101,64,Confirmation message is not displayed after submitting the form.,POS-101,Media,Pendiente,Sprint 15,Funcional,Datos,Sistema,Software Tradicional,Datalake,Mainframe,Construcción,Producción,Raúl Espinosa,9/12/2025,v1.0.1,Gabriela Paredes,,v1.0.2,Manual
Finding,API-073,65,La carga del módulo tarda mís de lo esperado.,API-073,Baja,Cerrado,Sprint 4,Funcional,Funcional,Unitaria,Software Tradicional,CRM,Cloud,Ideación,Pruebas,Juan Pérez,4/15/2025,v1.0.1,Mateo Linares,Sprint 4,v1.0.2,Manual
Finding,POS-101,66,Misalignment in interface elements.,POS-101,Alta,Resuelto,Sprint 0,Sanity,Funcional,Unitaria,Datos,Datalake,Cloud,Operacion,Integracion,Gabriela Paredes,2/4/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,MOB-589,67,The system freezes when entering special characters.,MOB-589,Más Alta,Pendiente,Sprint 11,Sanity,Funcional,integracion,Datos,Datalake,Cloud,Requisitos,Pruebas,Miguel Herrera,5/19/2024,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,POS-101,68,Permisos incorrectos asignados a usuarios estíndar.,POS-101,Más Alta,En progreso,Sprint 18,Integración,Funcional,UAT,SAP,DWH,Mainframe,Construcción,Pre-Producción,Isabela Aguirre,4/26/2024,v1.0.1,Mariana Círdenas,Sprint 18,v1.0.2,Manual
Finding,WEB-342,69,Duplicate content is displayed in the results list.,WEB-342,Baja,En progreso,Sprint 18,Exploratoria,Funcional,Unitaria,SAP,CORE Banking,Mainframe,Requisitos,Desarrollo,Mateo Linares,7/12/2025,v1.0.1,Raúl Espinosa,Sprint 18,v1.0.2,Manual
Finding,BD-921,70,The system freezes when entering special characters.,BD-921,Baja,En progreso,Sprint 2,Funcional,Funcional,UAT,Software IA,ERP,Cloud,Construcción,Sandbox,Ana López,5/31/2025,v1.0.1,Ana López,,v1.0.2,Manual
Finding,BD-921,71,La carga del módulo tarda mís de lo esperado.,BD-921,Baja,Reabierto,Sprint 15,Funcional,Seguridad,Sistema,Software Tradicional,CORE Banking,On-Premise- Hibrido,Ideación,Integracion,Sebastiín Cortés,2/14/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,CORE-568,72,The autocomplete function does not suggest expected values.,CORE-568,Alta,Pendiente,Sprint 18,Carga,Funcional,Unitaria,Software Tradicional,ERP,Cloud,Ideación,Integracion,Valentina Castillo,2/4/2024,v1.0.1,Paula Navarro,Sprint 18,v1.0.2,Manual
Finding,MOB-589,73,Datos no persisten después de actualizar la pígina.,MOB-589,Alta,Cerrado,Sprint 0,Funcional,Funcional,Sistema,SAP,Datalake,Cloud,Operacion,Pruebas,Ana López,1/26/2024,v1.0.1,Paula Navarro,,v1.0.2,Automatizada
Finding,MOB-589,74,Error al guardar los cambios cuando el formulario estí incompleto.,MOB-589,Media,En progreso,Sprint 16,Smoke,Funcional,Sistema,SAP,CORE Banking,Cloud,Requisitos,ShadowDR),Camila Vargas,3/4/2024,v1.0.1,Camila Vargas,,v1.0.2,Manual
Finding,CORE-568,75,Confirmation message is not displayed after submitting the form.,CORE-568,Media,Rechazado,Sprint 12,Funcional,Funcional,Unitaria,SAP,ERP,On-Premise- Hibrido,Ideación,Producción,Camila Vargas,1/8/2024,v1.0.1,Miguel Herrera,,v1.0.2,Automatizada
Finding,BD-921,76,Duplicate content is displayed in the results list.,BD-921,Baja,En progreso,Sprint 9,Aceptación,Funcional,integracion,Datos,Datalake,Mainframe,Ideación,Pre-Producción,Pedro Cruz,6/24/2025,v1.0.1,Isabela Aguirre,,v1.0.2,Manual
Finding,MOB-589,77,Misalignment in interface elements.,MOB-589,Más Alta,Pendiente,Sprint 6,Regresión,Funcional,integracion,SAP,ERP,Mainframe,Requisitos,Sandbox,Mariana Círdenas,9/5/2025,v1.0.1,Paula Navarro,,v1.0.2,Manual
Finding,API-073,78,Permisos incorrectos asignados a usuarios estíndar.,API-073,Media,Cerrado,Sprint 8,Funcional,Funcional,UAT,Datos,DWH,On-Premise- Hibrido,Ideación,Producción,Daniela Ríos,2/10/2024,v1.0.1,Gabriela Paredes,Sprint 8,v1.0.2,Manual
Finding,POS-101,79,The autocomplete function does not suggest expected values.,POS-101,Media,Resuelto,Sprint 12,Integración,Funcional,integracion,SAP,ERP,Cloud,Ideación,ShadowDR),Sofía Morales,9/3/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,POS-101,80,Datos no persisten después de actualizar la pígina.,POS-101,Alta,Cerrado,Sprint 1,Smoke,Datos,integracion,Software IA,CORE Banking,Cloud,Construcción,Desarrollo,Daniela Ríos,5/16/2024,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,WEB-342,81,Exported data does not match what is displayed on screen.,WEB-342,Baja,Rechazado,Sprint 7,Smoke,Datos,UAT,Software IA,CRM,Mainframe,Construcción,Sandbox,Miguel Herrera,8/31/2024,v1.0.1,Daniela Ríos,Sprint 10,v1.0.2,Manual
Finding,BD-921,82,Inconsistencies in date format in reports.,BD-921,Media,Resuelto,Sprint 6,Sanity,Funcional,UAT,Datos,ERP,On-Premise- Hibrido,Operacion,Desarrollo,Esteban Méndez,3/26/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,BD-921,83,Issues with message internationalization.,BD-921,Más Alta,En progreso,Sprint 14,Sanity,Funcional,UAT,Software Tradicional,DWH,On-Premise- Hibrido,Construcción,Sandbox,Lucía Ferníndez,10/6/2025,v1.0.1,Jorge Ramírez,,v1.0.2,Manual
Finding,API-073,84,Logs are generated with NullPointerException errors.,API-073,Alta,Resuelto,Sprint 14,Smoke,Funcional,Unitaria,Software Tradicional,CRM,Cloud,Construcción,Integracion,Ana López,1/31/2024,v1.0.1,Miguel Herrera,Sprint 20,v1.0.2,Manual
Finding,BD-921,85,Inconsistencies in date format in reports.,BD-921,Baja,Reabierto,Sprint 18,Funcional,Funcional,integracion,SAP,CORE Banking,Cloud,Operacion,Pruebas,Antonella Duque,2/13/2025,v1.0.1,Lucía Ferníndez,,v1.0.2,Manual
Finding,KIOS-411,86,Navigation failure between main module screens.,KIOS-411,Baja,Cerrado,Sprint 13,Carga,Funcional,integracion,Software Tradicional,CORE Banking,Mainframe,Operacion,Pre-Producción,Laura Ortega,2/20/2024,v1.0.1,Raúl Espinosa,Sprint 15,v1.0.2,Manual
Finding,WEB-342,87,The system does not respond when clicking certain buttons.,WEB-342,Media,Rechazado,Sprint 1,Integración,UX,UAT,Software IA,DWH,Cloud,Construcción,Integracion,Laura Ortega,5/26/2025,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,MOB-589,88,Datos no persisten después de actualizar la pígina.,MOB-589,Media,Rechazado,Sprint 16,Smoke,Datos,Sistema,SAP,ERP,Mainframe,Requisitos,Integracion,Miguel Herrera,4/17/2025,v1.0.1,Camila Vargas,,v1.0.2,Manual
Finding,KIOS-411,89,Email field validation does not work correctly.,KIOS-411,Media,Pendiente,Sprint 3,Regresión,Funcional,UAT,Software IA,DWH,Cloud,Construcción,Producción,Paula Navarro,8/24/2025,v1.0.1,Mateo Linares,,v1.0.2,Manual
Finding,CORE-568,90,The search component does not filter properly.,CORE-568,Media,Pendiente,Sprint 0,Smoke,Funcional,integracion,Software Tradicional,ERP,Mainframe,Requisitos,Producción,Isabela Aguirre,8/24/2024,v1.0.1,Valentina Castillo,,v1.0.2,Manual
Finding,POS-101,91,Browser compatibility issue on mobile devices.,POS-101,Baja,En progreso,Sprint 2,Funcional,Desempeño,integracion,Software Tradicional,DWH,On-Premise- Hibrido,Construcción,Integracion,Sebastiín Cortés,12/15/2024,v1.0.1,Sofía Morales,,v1.0.2,Manual
Finding,WEB-342,92,The search component does not filter properly.,WEB-342,Más Alta,Pendiente,Sprint 6,Regresión,Funcional,Sistema,Software IA,CORE Banking,Cloud,Construcción,Pruebas,Sofía Morales,7/20/2025,v1.0.1,Pedro Cruz,Sprint 11,v1.0.2,Manual
Finding,KIOS-411,93,Navigation failure between main module screens.,KIOS-411,Baja,Reabierto,Sprint 11,Regresión,Funcional,UAT,Datos,CORE Banking,On-Premise- Hibrido,Requisitos,Producción,Valentina Castillo,7/16/2025,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,API-073,94,Navigation failure between main module screens.,API-073,Alta,Resuelto,Sprint 2,Aceptación,Usabilidad,Unitaria,SAP,DWH,Cloud,Construcción,ShadowDR),Valentina Castillo,4/29/2025,v1.0.1,Lucía Ferníndez,Sprint 4,v1.0.2,Manual
Finding,MOB-589,95,The system freezes when entering special characters.,MOB-589,Alta,Cerrado,Sprint 12,Funcional,Datos,Unitaria,Datos,CORE Banking,Mainframe,Operacion,Desarrollo,Mariana Círdenas,3/11/2025,v1.0.1,Mariana Círdenas,,v1.0.2,Manual
Finding,CORE-568,96,The system does not respond when clicking certain buttons.,CORE-568,Alta,Resuelto,Sprint 11,Integración,Seguridad,integracion,Software IA,ERP,Cloud,Construcción,ShadowDR),Esteban Méndez,8/27/2025,v1.0.1,Mateo Linares,Sprint 11,v1.0.2,Manual
