Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Etapa de la prueba,Ambiente,Reportado,Fecha Reporte,Versión de corrección 1,Desarrollador,Sprint última regresión,En qué versión fue corregido?,Estrategia de ejecución
Test Execution,TECH-2144,470521,QA of Clever Improvements,,Trivial,In Testing,Sprint 166: 12/24/25 - 1/7/26,,,,QA of Clever Improvements,,,,,Valentina Lorusso,1/2/2026 16:19,v1.0,Valentina Lorusso,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Story,TECH-2143,470357,Git Jira integration testing.,,Trivial,In Development,Sprint 166: 12/24/25 - 1/7/26,Integration,,,Git Jira integration testing.,,,,,Jongman Paek,12/29/2025 17:20,v1.0,Jongman Paek,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Task,TECH-2142,470356,CLONE - Request help to replace docs under Resource module at Client Site for OPI & WPT for the Seal of Biliteracy In School & Out of School Testing and Proctoring Guides,,Trivial,Done,Sprint 166: 12/24/25 - 1/7/26,,,,CLONE,,,,,Diane Archer,12/29/2025 16:03,version of,Rohan Gandhi,,version of,Manual
Story,TECH-2098,470313,CLONE - Please assist in finalizing DLI OPI access code 1137710 as a NS (No Show) at Rating Admin Site,,Trivial,Ready for Testing,Sprint 166: 12/24/25 - 1/7/26,,,,CLONE,,,,,Diane Archer,12/24/2025 10:28,v1.0,Valentina Lorusso,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Task,TECH-2096,470275,Testing Task,,Trivial,To Do,Sprint 165: 12/10 - 12/24/25,,,,Testing Task,,,,,Annie Wendel,12/23/2025 16:13,v1.0,Annie Wendel,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Epic,TECH-2094,470271,Testing epic,,Trivial,Reviewed,,,,,Testing epic,,,,,Annie Wendel,12/23/2025 16:00,v1.0,Annie Wendel,,v1.0,Manual
Story,TECH-2093,470162,CLONE - Billing Type for ASL II and ASL RC,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,CLONE,,,,,Mark Dulsky,12/19/2025 16:59,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2092,470158,Mass Email feature - Improvement,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Mass Email feature,Improvement,,,,Vijay Damania,12/19/2025 15:40,v1.0,Stephen Benavides,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2091,470119,CLONE - Add Field to Account Level Test Price Report,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,CLONE,,,,,Mark Dulsky,12/18/2025 15:52,v1.0,Rohan Gandhi,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2090,470073,Update text on eligible learners screen (details in ticket),,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Update,,,,,Annie Wendel,12/17/2025 19:33,v1.0,Valentina Lorusso,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2089,470071,Change Students button text to Learners,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Change Students button text to Learners,,,,,Annie Wendel,12/17/2025 19:33,v1.0,Valentina Lorusso,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2088,470069,"•	Within Testing Date/Time box, add orange text in bold: Use this PIN for: {Grade #} – {Language} and display only whichever is selected for the window.",,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,•	Within Testing Date,Time box,add orange text in bold,,,Annie Wendel,12/17/2025 19:33,v1.0,Valentina Lorusso,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2087,470067,"Add info tooltip to ""Action"" column header with text: A new PIN must be generated for each day of testing within the specified window.",,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Add,Action,PIN,,,Annie Wendel,12/17/2025 19:32,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2086,470065,Change button text to Generate PIN,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Change button text to Generate PIN,,,,,Annie Wendel,12/17/2025 19:32,v1.0,Valentina Lorusso,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2111,470055,Modify the auto-finalization logic to apply to the out-out tests,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Modify the auto,out tests,,,,Annie Wendel,12/17/2025 12:45,v1.0,Jongman Paek,,v1.0,Manual
Story,TECH-2110,470053,Modify the auto-fetch logic to allow human raters to fetch an opted-out tests as a first rater,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Modify the auto,out tests as a first rater,,,,Annie Wendel,12/17/2025 12:44,v1.0,Jongman Paek,,v1.0,Manual
Story,TECH-2109,470051,"Build the ability to stop sending flagged, auto-submitted tests to the machine scoring system for Spanish ILS",,Trivial,To Do,Sprint 166: 12/24/25 - 1/7/26,System,,,auto,,,,,Annie Wendel,12/17/2025 12:44,v1.0,Jongman Paek,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Story,TECH-2118,470049,"Build the ability to stop sending flagged, auto-submitted tests to the machine scoring system for Spanish PW",,Trivial,To Do,Sprint 166: 12/24/25 - 1/7/26,System,,,auto,,,,,Annie Wendel,12/17/2025 12:44,v1.0,Jongman Paek,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Story,TECH-2117,470047,Build the ability to stop sending flagged tests to the machine scoring system for Spanish ILS,,Trivial,To Do,Sprint 166: 12/24/25 - 1/7/26,System,,,Build,Spanish ILS,,,,Annie Wendel,12/17/2025 12:44,v1.0,Jongman Paek,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Task,TECH-2083,470043,Testing window screen updates - details in ticket,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Testing window screen updates,details in ticket,,,,Annie Wendel,12/17/2025 11:01,V49,Valentina Lorusso,Sprint 166: 12/24/25 - 1/7/26,V49,Manual
Story,TECH-2082,470004,As a stakeholder I would like any reason code provided for a machine rated prompt to be provided to the datamart (like is done with human scored tests with reason codes) so that datamart reports can report on this information,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,,,,,,Annie Wendel,12/16/2025 16:51,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2081,470003,As a stakeholder I would like the machine rating system to provide one of the following reason codes for Spanish PW tests for any prompts rated as NE so that machine scored tests include the same information as human rated tests:,,,In Testing,Sprint 165: 12/10 - 12/24/25,System,,,Spanish,,,,,Annie Wendel,12/16/2025 16:51,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2080,470002,"As a stakeholder, I want Spanish PW/ILS tests NOT flagged by the machine rater as having Alarming Comments, but later flagged by a human rater for Alarming Comments, to flow to the Urgent Review queue so that the test can be reviewed by a Rater Admin, ...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,As a stakeholder,I want Spanish PW,...,,,Annie Wendel,12/16/2025 16:51,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2079,470001,"As a stakeholder, I want any tests flagged by the machine for Alarming Comments, that the rating admin determines are not alarming, to be able to be manually assigned to a human by the rating admin so that the test may be human rated and manually autof...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,As a stakeholder,,,,,Annie Wendel,12/16/2025 16:51,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2078,470000,As a stakeholder I would like any tests that have one or more prompts that the machine rater has identified as containing Alarming Comments to be immediately pushed to the Urgent Review queue and notify the admin team so that it can receive immediate r...,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,Alarming Comments,Urgent Review,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2077,469999,"As a stakeholder I would like Spanish PW/ILS tests that have been 3rd rated to go to the Final Ratings Held Queue (or the UR/NR Follow Up queue or the Urgent Review queue, depending on the rating provided by the last rater), as outlined in the AAPPL au...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,as outlined in the AAPPL au...,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2076,469998,"As a stakeholder, I want Spanish PW/ILS tests that require a 3rd rater, to be returned to the rate pending queue (as outlined in the auto finalization logic excel workbook) to be rated by any other rater and not require manual assignment so that the am...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,As a stakeholder,I want Spanish PW,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2075,469997,As a stakeholder I would like to be able to recognize on the SSRS Test Detail report what machine scoring model version was used by the machine rater so that I can identify which version of the logic was used to rate different tests.,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,SSRS Test,Detail,,,,Annie Wendel,12/16/2025 16:50,version was,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,version was,Manual
Story,TECH-2074,469996,As a stakeholder I would like tests that the machine scoring server has flagged 5 or 6 prompts as being NE with the reason code “the learner chose not to respond to the prompt(s)” due to the blank responses to be automatically finalized as UR with the ...,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2073,469995,"As a stakeholder I want to ensure that all other AAPPL tests are unaffected by the separate 2nd human rater percentage for Spanish AAPPL PW and ILS tests, particularly Spanish ILS tests, so that Spanish ILS testsall AAPPL tests other than Spanish AAPPL...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,particularly Spanish ILS tests,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2072,469994,As a stakeholder I would like the percentage of required second human ratings (aka 3rd ratings) for Spanish PW/ILS tests to currently be set to zero percent so that all Spanish PW/ILS tests are initially rated with one machine rating and one human rate...,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,Spanish PW/ILS,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2071,469993,"As a stakeholder I would like Spanish PW/ILS tests with 3 ratings to be auto finalized, using new logic provided with this project, so that we can minimize costs and reduce manual effort where possible.",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,Spanish PW/ILS,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2070,469992,"As a stakeholder I would like the implementation of the machine rater to follow the same double rater test rating finalization logic as used with two human raters, and the provided auto rating finalization logic, so that our test ratings are consistent.",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2069,469991,"As a stakeholder I would like the machine rater to be assigned an easily identifiable rater name (i.e. “Machine”) following existing formats so that I can quickly recognize which ratings are from the machine rater when viewing ratings in Rater Admin, T...",,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,T...,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2068,469990,As a stakeholder I would like valid Spanish PW/ILS tests to be routed for human rating after the machine has scored them so that humans can be the 2nd rater for those tests,,,Ready for Testing,Sprint 165: 12/10 - 12/24/25,,,,Spanish PW/ILS,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2067,469989,As a stakeholder I would like the machine rater to always be the first rater on Spanish PW/ILS tests so that we can save costs and gain efficiencies by having the machine identify blank responses and potential alarming comments so that we do not need t...,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,Spanish PW/ILS,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2066,469988,"As a stakeholder, I would like all autosubmitted AAPPL Spanish PW/ILS tests to be reviewed and finalized with a UR per current protocols (if qualified) BEFORE the test be routed to the machine rater for rating.",,,Ready for Testing,Sprint 165: 12/10 - 12/24/25,,,,As a stakeholder,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2065,469987,As a stakeholder I would like all Spanish PW/ILS tests to be rated by a machine rater and one or more human rater(s) so that we can increase accuracy and reduce costs,,,In Testing,Sprint 165: 12/10 - 12/24/25,,,,Spanish PW/ILS,,,,,Annie Wendel,12/16/2025 16:50,v1.0,Alexa Altez,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2064,469986,Reactivate ACTFL Content Preview Tool with Laravel Upgrade (IL/IR/PW only),,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,PW only),,,,,Annie Wendel,12/16/2025 16:21,v1.0,Jongman Paek,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Sub-task,TECH-2063,469983,Module in TMS to add/edit/delete Business rules for rostering data,,Trivial,To Do,Sprint 165: 12/10 - 12/24/25,,,,Module in TMS to add,edit,delete Business rules for rostering data,,,Vijay Damania,12/16/2025 13:25,v1.0,Rohan Gandhi,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Sub-task,TECH-2062,469981,Module in TMS to add/delete Course / Class language mapping for rostering data,,Trivial,To Do,Sprint 165: 12/10 - 12/24/25,,,,Module in TMS to add,delete Course,Class language mapping for rostering data,,,Vijay Damania,12/16/2025 13:24,v1.0,Rohan Gandhi,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Sub-task,TECH-2061,469979,Module in TMS to add/edit/delete Academic Sessions required for rostering,,Trivial,In Development,Sprint 165: 12/10 - 12/24/25,,,,Module in TMS to add,edit,delete Academic Sessions required for rostering,,,Vijay Damania,12/16/2025 13:23,v1.0,Rohan Gandhi,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Story,TECH-2123,469966,Build the ability to stop sending flagged tests to the machine scoring system for Spanish PW,,Trivial,In Development,Sprint 166: 12/24/25 - 1/7/26,System,,,Build,Spanish,,,,Annie Wendel,12/16/2025 11:14,v1.0,Jongman Paek,Sprint 167: 1/8/26 - 1/21/26,v1.0,Manual
Story,TECH-2124,469964,Build the ability to receive a machine score opt out flag from TMS,,Trivial,To Do,Sprint 167: 1/8/26 - 1/21/26,,,,Build,TMS,,,,Annie Wendel,12/16/2025 11:14,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2060,469962,Report for Dormant Account Go Live,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Report for Dormant Account Go Live,,,,,Annie Wendel,12/16/2025 11:00,v1.0,Rohan Gandhi,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Bug,TECH-2046,469755,ASL Demo - II Component - Button text style is not aligned with the rest of the content,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,Functional,,ASL Demo,II Component,,,,Valentina Lorusso,12/12/2025 18:35,v1.0,Annie Wendel,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Bug,TECH-2045,469753,ASL Demo - RC Component - Accessibility options- Black background is not displayed correctly,,Trivial,In Development,Sprint 167: 1/8/26 - 1/21/26,,Functional,,ASL Demo,RC Component,Accessibility options,,,Valentina Lorusso,12/12/2025 18:31,v1.0,Jongman Paek,,v1.0,Manual
Bug,TECH-2044,469751,ASL DEMO - RC Component - Pop-up message displayed after completing the last task,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,Functional,,ASL DEMO,RC Component,Pop,,,Valentina Lorusso,12/12/2025 18:29,v1.0,Annie Wendel,,v1.0,Manual
Bug,TECH-2043,469749,ASL Demo - RC Component - Video pop-up cannot be resized,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,Functional,,ASL Demo,RC Component,Video pop,,,Valentina Lorusso,12/12/2025 18:20,v1.0,Annie Wendel,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Bug,TECH-2042,469708,"As LTI, I want to limit access to the Composite Score report to accounts in Alabama, Arkansas, Illinois, Maryland, New Hampshire, and North Carolina so that only states that accept those scores see it.",,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,Functional,,As LTI,Arkansas,Illinois,,,Annie Wendel,12/12/2025 12:25,v1.0,Annie Wendel,,v1.0,Manual
Story,TECH-2041,469704,CLONE - New DLI inquiry - display column in OARS identifying the rater whose form submission was released with the test,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,CLONE,New DLI inquiry,,,,Annie Wendel,12/12/2025 11:35,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2138,469633,Implement auto-finalization logic for Forms 4&5,,Trivial,To Do,,,,,Implement auto,finalization logic for Forms 4&5,,,,Jongman Paek,12/11/2025 17:10,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2139,469631,Add Form 4 and Form 5 to the MC Platform,,Trivial,To Do,,,,,Add Form,Form,Platform,,,Jongman Paek,12/11/2025 17:08,v1.0,Jongman Paek,,v1.0,Manual
Bug,TECH-2039,469491,AAPPL Rater Utility - Unable to download Excel file in AAPPL Rater Utility,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,Functional,,AAPPL Rater Utility,,,,,Valentina Lorusso,12/10/2025 14:36,v1.0,Annie Wendel,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-2038,469489,ILS Machine Scoring Finalization,,Major,To Do,Sprint 165: 12/10 - 12/24/25,,,,ILS Machine Scoring Finalization,,,,,Adam Ganser,12/10/2025 14:29,v1.0,Adam Ganser,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Bug,TECH-2035,469482,AAPPL Rater Utility - Change Daily Fetching Limit action option is not correctly displayed in the menu,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,Functional,,AAPPL Rater Utility,,,,,Valentina Lorusso,12/10/2025 13:32,v1.0,Annie Wendel,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Task,TECH-2135,469445,Add sample audio files for the self-assessment options,,Trivial,To Do,,,,,assessment options,,,,,Annie Wendel,12/10/2025 10:21,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2140,469443,Add instructions translated from English to Korean for the self-assessment page,,Trivial,To Do,,,,,assessment page,,,,,Annie Wendel,12/10/2025 10:21,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2141,469441,Add self-assessment items for Forms 4&5,,Trivial,To Do,,,,,Add self,assessment items for Forms 4&5,,,,Annie Wendel,12/10/2025 10:20,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2136,469439,Add Korean translations for the newly added background survey items,,Trivial,To Do,,,,,Add Korean,,,,,Annie Wendel,12/10/2025 10:19,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2137,469437,Add background survey items for Forms 4&5,,Trivial,To Do,,,,,Add,Forms,,,,Annie Wendel,12/10/2025 10:18,v1.0,Jongman Paek,,v1.0,Manual
Epic,TECH-2105,469435,Estimation of Timeline and Budget for Enhance OPIc to Superior for Multicampus,,Trivial,To Do,,,,,Estimation,Timeline,Budget,,,Annie Wendel,12/10/2025 10:16,v1.0,Jongman Paek,,v1.0,Manual
Task,TECH-2034,469363,Integrate and configure AAPPL Student Assessment App on Classlink,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,Integration,,,Integrate,AAPPL Student,Assessment App,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2033,469361,Implement incremental data sync process,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Implement incremental data sync process,,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2032,469359,Setup and configure Classlink API integration,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,Integration,,,Setup and configure Classlink API integration,,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2030,469355,Develop API to access and sync user profiles,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Develop API,,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2031,469356,Implement API to access and sync student roster data,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Implement API,,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Task,TECH-2029,469357,Analyse Classlink API endpoints,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Analyse Classlink API endpoints,,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,,v1.0,Manual
Task,TECH-2028,469358,Configure roster data mapping for AAPPL assessment,,Trivial,Done,Sprint 165: 12/10 - 12/24/25,,,,Configure,AAPPL,,,,Annie Wendel,12/9/2025 15:04,v1.0,Vijay Damania,Sprint 166: 12/24/25 - 1/7/26,v1.0,Manual
Epic,TECH-2027,469349,Tech: Classlink Integration,,Trivial,In Development,,Integration,,,Tech,Classlink Integration,,,,Annie Wendel,12/9/2025 14:55,v1.0,,,v1.0,Manual
Task,TECH-2026,469248,CLONE - Auto Remote Proctor Rate Increase,,Trivial,Done,Sprint 166: 12/24/25 - 1/7/26,,,,CLONE,Auto Remote Proctor Rate Increase,,,,Alex Nuñez,12/8/2025 19:04,v1.0,Rohan Gandhi,,v1.0,Manual
Story,TECH-2025,469240,CLONE - Bug Fix for ASL labels on AAPPL Reports,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,CLONE,,,,,Jennifer Quinlan,12/8/2025 15:43,v1.0,Rohan Gandhi,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-2024,469238,CLONE - AAPPL Student Longitudinal Report Language filter - missing ASL,,Trivial,Done,Sprint 164: 11/26 - 12/10/25,,,,CLONE,AAPPL Student Longitudinal Report Language filter,missing ASL,,,Mark Dulsky,12/8/2025 15:43,v1.0,Rohan Gandhi,Sprint 165: 12/10 - 12/24/25,v1.0,Manual
Story,TECH-2113,469198,Implement Financial Hold Deactivation Flow in TMS,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Implement Financial,Hold Deactivation,Flow,,,Annie Wendel,12/8/2025 11:29,v1.0,Vijay Damania,,v1.0,Manual
Task,TECH-2133,469195,TMS user can select Operational Hold or Financial Hold on accounts.,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,TMS,Operational Hold,Financial Hold,,,Annie Wendel,12/8/2025 11:29,v1.0,Vijay Damania,,v1.0,Manual
Task,TECH-2132,469196,Update TMS Permissions for Finance Users,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Update TMS Permissions for Finance Users,,,,,Annie Wendel,12/8/2025 11:29,v1.0,Vijay Damania,,v1.0,Manual
Story,TECH-2114,469194,Client Site Notification and Access Block,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Client Site Notification and Access Block,,,,,Annie Wendel,12/8/2025 11:29,v1.0,Vijay Damania,,v1.0,Manual
Story,TECH-2108,469190,Automated Reactivation Process,,Trivial,To Do,Sprint 168: 1/22/26 - 2/4/26,,,,Automated Reactivation Process,,,,,Annie Wendel,12/8/2025 11:29,v1.0,Vijay Damania,,v1.0,Manual
Story,TECH-2119,469188,Implement Hierarchy Logic for Opt-Out Inheritance,,Trivial,To Do,Sprint 167: 1/8/26 - 1/21/26,,,,Implement Hierarchy Logic for Opt,Out Inheritance,,,,Annie Wendel,12/8/2025 11:11,v1.0,Vijay Damania,,v1.0,Manual
Story,TECH-2121,469183,Flag Tests for AI Training Opt-Out in Database,,Trivial,To Do,Sprint 167: 1/8/26 - 1/21/26,,,,Flag Tests for AI Training Opt,Out in Database,,,,Annie Wendel,12/8/2025 11:11,v1.0,Vijay Damania,,v1.0,Manual
